stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id
500383,JPRADO99,Javier Prado,-12.0533219,-77.0155153,0
241165,JPUNO,Jiron Puno,-12.0311045,-77.014634,0
330335,JRATAHU,Jr. Atahualpa,-12.0216784,-77.0135854,0
327200,JVPRA,JVPRA,-12.053167,-77.020445,0
318026,LANGE1,LOS ANGELES,-12.062308,-77.015228,0
318034,LARCO1,LARCO,-12.0736386,-77.014728,0
325215,LEONCI15,ALCAZAR,-12.015682,-77.014084,0
325004,LEONCIO,LEONCIO PRADO,-12.015736,-77.014246,0
500415,LIMA9,Lima,-12.0130356,-77.0041605,0
5004151,LIMA99,Lima,-12.0130356,-77.0041605,0
330337,LLOMAS,Las Lomas,-12.0059967,-77.0233866,0
330366,LMONTER2,LIZARDO MONTERO,-12.0642106,-77.0144461,0
330360,LOALTOS,LOS ALTOS,-12.0049414,-77.0229706,0
330429,LORET55,Loreto,-12.0324548,-77.0255406,0
330333,LORETO,Loreto,-12.0233162,-77.0127836,0
500329,LOSA,La Losa,-12.0134612,-77.0110389,0
318037,LPARM1,ARMENDARIZ,-12.080645,-77.0131508,0
330346,LVELARD,Leon Velarde,-12.0455245,-77.0209724,0
325003,MADRI1,MADRID,-12.014595,-77.015081,0
330375,MADRID9,Madrid,-12.0145271,-77.015155,0
301027,MALI2,MALI - SN,-12.0335943,-77.0212839,0
328104,MANCINC1,Manco Inca - NS,-12.0200551,-77.0233381,0
330345,MAPINO,Manuel del Pino,-12.0442708,-77.0211536,0
330422,MATER55,Materiales,-12.0224266,-77.0357197,0
330348,MBAÑON1,Manuel Bañon,-12.0537882,-77.0205556,0
500258,MCANDA5,MANUEL CANDAMO,-12.0456539,-77.0200905,0
330385,MEXIC0,Mexico,-12.002736,-77.0210345,0
325225,MONAC,MONAC,-12.00274,-77.02092,0
330377,MONACO,MONACO,-12.0027281,-77.0210363,0
325175,MOQSJ2,MOQSJ2,-12.014584,-77.010156,0
325009,MOQUE1,MOQUEGUA,-12.0248847,-77.0216897,0
301171,MOQUE2,MOQUEGUA,-12.0252246,-77.0217984,0
301172,MOQUE2-1,MOQUE2,-12.0242212,-77.0211119,0
327025,MORAL1,R.MORALES,-12.060965,-77.015455,0
320230,MORAR1,MORRO DE ARICA,-12.0124653,-77.0214733,0
330358,MORAR11,MORRO DE ARICA,-12.0128628,-77.0210118,0
325022,MORAR2,MORRO ARICA  -  SN,-12.0464,-77.0428,0
305004,MUNIC1,MUNICIPALIDAD - NS,-12.033139,-77.0246463,0
330364,NCOLINA2,NARCISO DE LA COLINA,-12.070656,-77.014129,0
330433,NPIERO5,Nicolás de Piérola,-12.0258337,-77.0219957,0
301149,NSANC1,NSANC1,-12.0412396,-77.0212181,0
330393,NUNI5,Naciones Unidas,-12.0315221,-77.0340648,0
330424,NUNIDD,Naciones Unidas,-12.0253686,-77.0335456,0
318045,NUÑEZ2,NUÑEZ DE BALBOLA,-12.0759855,-77.0138867,0
330363,OFLO301,OVALO MIRAFLORES,-12.0709286,-77.01466,0
330352,OGUTIER,Ovalo Gutierrez,-12.0646505,-77.0212472,0
327059,OLAVI2,OLAVIDE,-12.053822,-77.015884,0
305005,OLMED1,OLMEDO - NS,-12.0335934,-77.0254282,0
318008,OVGUT1,OVALO GUTIERREZ,-12.0635595,-77.0214796,0
318015,OVGUT2,OVALO GUTIERREZ - SN,-12.0464,-77.0428,0
327016,PARDALI2,PARDO Y ALIAGA - SN,-12.0627103,-77.0213318,0
318031,PARDO1,PARDO/R.PALMA,-12.070728,-77.0144821,0
330350,PARDO36,Pardo,-12.0707502,-77.0213414,0
330351,PARDO62,PARDO,-12.0706381,-77.0212729,0
330379,PARQUE0,Parque,-12.012033,-77.0149757,0
328201,PARQUE1,Parque - NS,-12.0104485,-77.0154636,0
328110,PARQZON1,Parque Zonal - NS,-12.0057812,-77.0143835,0
325224,PASAJE,PASAJE,-12.003348,-77.020409,0
327023,PAZSO1,PAZ SOLDAN,-12.05478,-77.015812,0
330361,PBERMUD,P. BERMUDEZ,-12.0419034,-77.0215126,0
330357,PCONDE2,PEDRO CONDE,-12.0518748,-77.0201396,0
302,PCTA_A,Punto de entrada de Patio CTA,-12.0121709,-77.0216321,0
301,PCTA_E,Punto de salida de Patio CTA,-12.0121155,-77.0217002,0
312,PCTA2_A,Punto de entrada de Patio CTA2,-12.0138071,-77.0237702,0
311,PCTA2_E,Punto de salida de Patio CTA2,-12.0138071,-77.0237702,0
330387,PCTA-P1,Patio 1,-12.0137654,-77.0236506,0
330400,PERU55,Peru,-12.0157,-77.0353514,0
330398,PGAREZ5,Pedro Garezón,-12.0228878,-77.0356311,0
325214,PI3062,PIZARRO 306  -  SN,-12.021817,-77.015466,0
301145,PIERO1,PIERO1,-12.0253664,-77.0220216,0
327203,PIERO6,NICOLAS DE PIEROLA,-12.0254326,-77.0220652,0
500222,PIEROLA,Nicolas de Pierola,-12.0315522,-77.0148719,0
318030,PIURA,PIURA,-12.065656,-77.01466,0
318051,PIURA2,PIURA,-12.06585,-77.014555,0
325173,PIZA32,PIZA32,-12.0215068,-77.0152824,0
325143,PIZAR1,PIZARRO,-12.022195,-77.01583,0
325227,PIZAR11,Pizarro - NS,-12.0158699,-77.0217596,0
325073,PIZAR2,PIZARRO,-12.022098,-77.015639,0
301002,PLBOL1,PLAZA BOLOGNESI - NS,-12.0336062,-77.0226466,0
605009,PLZBAN,PLAZA DE LA BANDERA,-12.0402041,-77.0337303,0
605010,PLZBAN2,PLAZA DE LA BANDERA - SN,-12.0402772,-77.0335208,0
305009,PLZBAND,PLAZA DE LA BANDERA,-12.0402041,-77.0337303,0
305010,PLZBAND2,PLAZA DE LA BANDERA - SN,-12.0402772,-77.0335208,0
318040,PLZBU1,PLAZA BUTTERS,-12.08344,-77.005947,0
330334,PLZVEA,Plaza Vea,-12.0230576,-77.0120813,0
330420,PRIOS55,Pinar Del Rio,-12.0159329,-77.0354238,0
328103,PROC1,Los Proceres - NS,-12.0204049,-77.0221901,0
500337,PROCER12,Proceres,-12.0142837,-77.0042849,0
320229,PROLTA2,Prolongacion Tacna,-12.0155444,-77.0138818,0
328111,PROLTAC1,Prolongación Tacna - NS,-12.015353,-77.0142236,0
330112,PROLTAC2,PROLONGACION TACNA,-12.0157094,-77.0136872,0
325178,PSJ171,PASAJE 17,-12.003344,-77.020445,0
330354,PSOLD5,PAZ SOLDAN,-12.0548639,-77.0208312,0
330349,PSOLDAN,Paz Soldan,-12.054616,-77.020826,0
325233,PTCTA,Patio CTA,-12.0121443,-77.0216235,0
330421,PTUDEL55,Pérez de Tudela,-12.0208441,-77.0357996,0
330381,PZONAL0,Parque Zonal,-12.0053672,-77.0150873,0
301070,QUILC2,QUILCA,-12.03045,-77.021914,0
330409,QUILC55,Quilca,-12.0211832,-77.0556342,0
330373,RDAGN22,RAMÓN DAGNINO,-12.0418012,-77.0206709,0
305006,RESTAUR,RESTAURACION,-12.0344387,-77.0301455,0
305013,RESTAUR2,RESTAURACIÓN - SN,-12.0350052,-77.0259722,0
327152,RISSO,RISSO,-12.0506688,-77.0204088,0
314204,RISSO2,RISSO  -  SN,-12.0506029,-77.0203581,0
314022,RISSO22,RISSO - SN,-12.0508176,-77.0159211,0
318055,RJANE2,RIO DE JANEIRO,-12.06212,-77.015192,0
330368,RJANE22,RÍO DE JANEIRO,-12.0620074,-77.0148205,0
330382,ROBLES0,Los Robles,-12.004568,-77.0154725,0
318050,RPALM2,R. PALMA,-12.0712414,-77.0144159,0
325201,SACHO1,SANTOS CHOCANO   -  NS,-12.012711,-77.013668,0
325204,SACHO2,SANTOS CHOCANO   -  SN,-12.013246,-77.014434,0
330355,SACOLIV3,Saco Oliveros,-12.0406762,-77.0208365,0
330384,SALAMA0,SALAMANCA,-12.0031158,-77.020622,0
330406,SALAV55,Salavaerry,-12.0147791,-77.05375,0
